CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
1.87549,,2.13709,0.00485,-0.00485,Rustamkulov et al. 2022,0.14619,1.7E-4,-1.7E-4,Calculated,1.2732,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
1.9134,,2.15521,0.00398,-0.00398,Rustamkulov et al. 2022,0.14681,1.4E-4,-1.4E-4,Calculated,1.2786,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
1.95093,,2.13533,0.0046,-0.0046,Rustamkulov et al. 2022,0.14613,1.6E-4,-1.6E-4,Calculated,1.2727,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
1.98806,,2.1163,0.00473,-0.00473,Rustamkulov et al. 2022,0.14547,1.6E-4,-1.6E-4,Calculated,1.267,0.0326,-0.0326,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.02479,,2.08777,0.00464,-0.00464,Rustamkulov et al. 2022,0.14449,1.6E-4,-1.6E-4,Calculated,1.2584,0.0324,-0.0324,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.06111,,2.11632,0.00481,-0.00481,Rustamkulov et al. 2022,0.14548,1.7E-4,-1.7E-4,Calculated,1.267,0.0326,-0.0326,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.09703,,2.08809,0.00402,-0.00402,Rustamkulov et al. 2022,0.1445,1.4E-4,-1.4E-4,Calculated,1.2585,0.0324,-0.0324,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.13255,,2.09581,0.0041,-0.0041,Rustamkulov et al. 2022,0.14477,1.4E-4,-1.4E-4,Calculated,1.2608,0.0324,-0.0324,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.16766,,2.09067,0.0059,-0.0059,Rustamkulov et al. 2022,0.14459,2.0E-4,-2.0E-4,Calculated,1.2593,0.0324,-0.0324,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.20238,,2.07832,0.00514,-0.00514,Rustamkulov et al. 2022,0.14416,1.8E-4,-1.8E-4,Calculated,1.2556,0.0323,-0.0323,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.23671,,2.07961,0.00482,-0.00482,Rustamkulov et al. 2022,0.14421,1.7E-4,-1.7E-4,Calculated,1.256,0.0323,-0.0323,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.27065,,2.07996,0.00514,-0.00514,Rustamkulov et al. 2022,0.14422,1.8E-4,-1.8E-4,Calculated,1.2561,0.0323,-0.0323,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.30422,,2.08642,0.00505,-0.00505,Rustamkulov et al. 2022,0.14444,1.7E-4,-1.7E-4,Calculated,1.258,0.0324,-0.0324,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.3374,,2.1024,0.00486,-0.00486,Rustamkulov et al. 2022,0.145,1.7E-4,-1.7E-4,Calculated,1.2628,0.0325,-0.0325,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.37023,,2.12205,0.00497,-0.00497,Rustamkulov et al. 2022,0.14567,1.7E-4,-1.7E-4,Calculated,1.2687,0.0326,-0.0326,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.40269,,2.11108,0.00512,-0.00512,Rustamkulov et al. 2022,0.1453,1.8E-4,-1.8E-4,Calculated,1.2654,0.0326,-0.0326,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.4348,,2.12569,0.00505,-0.00505,Rustamkulov et al. 2022,0.1458,1.7E-4,-1.7E-4,Calculated,1.2698,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.46656,,2.13221,0.00512,-0.00512,Rustamkulov et al. 2022,0.14602,1.8E-4,-1.8E-4,Calculated,1.2718,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.49799,,2.14845,0.00546,-0.00546,Rustamkulov et al. 2022,0.14658,1.9E-4,-1.9E-4,Calculated,1.2766,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.52909,,2.14351,0.00579,-0.00579,Rustamkulov et al. 2022,0.14641,2.0E-4,-2.0E-4,Calculated,1.2751,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.55987,,2.17224,0.00588,-0.00588,Rustamkulov et al. 2022,0.14739,2.0E-4,-2.0E-4,Calculated,1.2836,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.59033,,2.16322,0.00587,-0.00587,Rustamkulov et al. 2022,0.14708,2.0E-4,-2.0E-4,Calculated,1.281,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.62048,,2.16538,0.00579,-0.00579,Rustamkulov et al. 2022,0.14715,2.0E-4,-2.0E-4,Calculated,1.2816,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.65033,,2.18985,0.00583,-0.00583,Rustamkulov et al. 2022,0.14798,2.0E-4,-2.0E-4,Calculated,1.2888,0.0332,-0.0332,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.67989,,2.18054,0.00591,-0.00591,Rustamkulov et al. 2022,0.14767,2.0E-4,-2.0E-4,Calculated,1.2861,0.0331,-0.0331,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.70916,,2.19941,0.00602,-0.00602,Rustamkulov et al. 2022,0.1483,2.0E-4,-2.0E-4,Calculated,1.2916,0.0332,-0.0332,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.73815,,2.18402,0.00627,-0.00627,Rustamkulov et al. 2022,0.14778,2.1E-4,-2.1E-4,Calculated,1.2871,0.0331,-0.0331,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.76686,,2.18189,0.00631,-0.00631,Rustamkulov et al. 2022,0.14771,2.1E-4,-2.1E-4,Calculated,1.2865,0.0331,-0.0331,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.7953,,2.18637,0.00658,-0.00658,Rustamkulov et al. 2022,0.14786,2.2E-4,-2.2E-4,Calculated,1.2878,0.0332,-0.0332,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.82349,,2.2111,0.00669,-0.00669,Rustamkulov et al. 2022,0.1487,2.2E-4,-2.2E-4,Calculated,1.2951,0.0333,-0.0333,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.85141,,2.19692,0.00684,-0.00684,Rustamkulov et al. 2022,0.14822,2.3E-4,-2.3E-4,Calculated,1.2909,0.0332,-0.0332,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
